itemcode,itemname,,,,,,,
5118,시트러스 흑미찜 샐러드 세트 ,,,,,,,
5177,깻잎 돼지주물럭 세트 ,,,,,,,
5198,머쉬룸 리조토 세트 ,,,,,,,
5264,시트러스&블랙샐러드,,,,,,,
5265,포테이토렌치샐러드 ,,,,,,,
5276,[6월] 3days 샐러드 패키지,,,,,,,
5279,블러드 오렌지 드레싱,,,,,,,
5379,중국식 칼라마리 냉채 샐러드,,,,,,,
5396,돼지고기 마늘소스찜 세트 ,,,,,,,
5430,오리 고사리 들깨볶음 세트,,,,,,,
5440,[6월] 짬짜면 패키지 ,,,,,,,
5443,토마토 견과 카레 소스 세트 ,,,,,,,
5452,춘천식 고추장 닭구이 세트 ,,,,,,,
5457,매콤 주꾸미 비빔 세트 ,,,,,,,
5476,구운 두부 비트와 견과류 샐러드 세트 ,,,,,,,
5487,마씨앗 닭볶음탕 세트 ,,,,,,,
5494,새우 버터구이 아보카도 샐러드 세트,,,,,,,
5495,구운 주꾸미와 감자 샐러드 세트 ,,,,,,,
5510,무화과 비트 타히니&닭살 샐러드 세트 ,,,,,,,
5529,[6월] 효도 패키지 ,,,,,,,
5551,고구마순 잡채,,,,,,,
5604,[사라베스] 블루베리 체리잼,,,,,,,
5620,해물 두반두부 세트 ,,,,,,,
5636,춘천식 고추장 닭구이 ,,,,,,,
5640,어니언 덮밥소스 세트 ,,,,,,,
5656,참치 케이퍼 샐러드 세트 ,,,,,,,
5681,곰취된장찜 ,,,,,,,
5685,어수리나물 ,,,,,,,
5714,[트루노팔] 선인장 워터 1L,,,,,,,
5750,낙지 무채무침 ,,,,,,,
5767,미트 토마토 파스타 세트,,,,,,,
5768,나물 비빔 세트,,,,,,,
5808,오징어 무채무침,,,,,,,
5862,문어 사과 카르파쵸 샐러드,,,,,,,
5872,포두부 쉬림프 샐러드 세트,,,,,,,
5994,버섯 오리주물럭 세트,,,,,,,
5996,꾸지뽕 매콤 닭볶음 세트,,,,,,,
6160,구운연어 쿠스쿠스 샐러드 세트 ,,,,,,,
6185,코코넛 쉬림프 샐러드 세트 ,,,,,,,
6196,숙주 부추 소불고기 세트 ,,,,,,,
6317,파채 돈육불고기 세트 ,,,,,,,
6390,머쉬룸 치킨 샐러드 세트 ,,,,,,,
6443,[6월] 건강 디저트 패키지,,,,,,,
6444,리코타치즈 청포도 샐러드세트 ,,,,,,,
6456,[아몬드브리즈] 오리지널 950ml,,,,,,,
6486,[팔도한우] 횡성 안심 150g/팩,,,,,,,
6489,[볼제너뮬러] 유기농 콘플레이크 250g,,,,,,,
6545,[vezzly] 홍시 단팥빵 (6입),,,,,,,
6593,타르투플랑게 화이트 트러플 소금 30g,,,,,,,
6604,나물 4종 샘플러,,,,,,,
6621,돼지고기 마늘종 덮밥소스 세트 ,,,,,,,
6622,공심채 소고기볶음 세트 ,,,,,,,
6674,불낙볶음 세트 ,,,,,,,
6677,[vezzly] 올리브 식빵,,,,,,,
6687,스파이시 참치 케이퍼 샐러드 세트 ,,,,,,,
6688,탄두리 후무스 샐러드 세트 ,,,,,,,
6714,사천식 애호박찜 세트 ,,,,,,,
6745,치킨스테이크 채소구이 샐러드 세트 ,,,,,,,
6750,[7월] 3days 샐러드 패키지,,,,,,,
6771,화이트 라구소스 리가토니,,,,,,,
6795,포크 아라비아따 샐러드 세트 ,,,,,,,
6806,씨푸드 시트러스 샐러드 ,,,,,,,
6844,닭안심 미나리페스토구이  샐러드 세트 ,,,,,,,
6852,유근피 닭다리백숙 (1인분),,,,,,,
6855,흑미 전복 리소토,,,,,,,
6856,율무&구운가지 샐러드 세트 ,,,,,,,
6860,씨푸드 커리향 샐러드 세트 ,,,,,,,
6873,돼지고기 톳볶음 세트 ,,,,,,,
6900,단호박 오리로스구이 세트 ,,,,,,,
6919,흑마늘 황기 찜닭 (2~3인분),,,,,,,
6922,닭살두부 마라볶음 세트 ,,,,,,,
6924,구운버섯 아보카도 샐러드 세트 ,,,,,,,
6937,[오가닉스토리] 유기농 발아블랙선식 500g,,,,,,,
6942,[vezzly] 통밀 7곡 식빵 ,,,,,,,
6959,[vezzly] 에쉬레버터 샤브레 쿠키 (3입),,,,,,,
6969,[아이엠얼라이브] 유기농 콤부차 오리지널 315ml ,,,,,,,
6993,[7월] 패밀리 패키지,,,,,,,
7052,보양 추어탕 (1인분),,,,,,,
7116,[바로란] 텃골농장 구운란 (10구),,,,,,,
7122,돼지고기 애호박 짜글이 세트 ,,,,,,,
7124,삼복 백숙 패키지 (2인),,,,,,,
7128,[1Table] 삼계탕 ,,,,,,,
7132,유근피 닭다리 백숙 세트 ,,,,,,,
7169,[엘리트] 유기농 석류주스 700ml,,,,,,,
7189,모짜렐라 치즈 샐러드 세트 ,,,,,,,
7201,통밀 콜드 파스타 샐러드,,,,,,,
7207,[화식한우] 안심 150g/팩,,,,,,,
7258,게랑드 굵은 토판 천일염 125g,,,,,,,
7261,연잎 오겹수육 (2인분),,,,,,,
7276,오리엔탈 비프 샐러드 ,,,,,,,
7297,오징어땅콩 버터구이 샐러드 세트 ,,,,,,,
7302,리코타 호박고구마 샐러드 세트 ,,,,,,,
7325,소고기 브로콜리죽 (1인분),,,,,,,
7339,흑마늘 찜닭 세트 ,,,,,,,
7345,포테이토 쉬림프 샐러드 세트 ,,,,,,,
7348,갈릭 치킨 샐러드 세트 ,,,,,,,
